ID_destino,Name,Department,City,Clima,Activities,Accommodation,Transport_Type,Ages,Estimated_Cost,Opinions,Qualification,Durations
1,Museo Pablo Escobar,Antioquia,Medellín,Cálido,"Museo, Sitio historico",Hotel,"Transporte publico, Vehiculo particular",Adultos,$$,"3,666",4.5,1-2 horas
2,Museo Nacional de Colombia,Bogotá D.C.,Bogotá,Frío,"Museo, Sitio historico",Hotel,"Transporte publico, Vehiculo particular",Todo público,$,"1,793",4.5,2-4 horas
3,Parque del Café,Quindío,Montenegro,Templado,"Parque temático, Caminatas, Atracciones","Hotel, Cabaña","Vehiculo particular, Transporte publico",Todo público,$$$,"2,261",4.5,1 día completo
4,"Guatapé, Piedra del Peñol",Antioquia,Guatapé,Templado,"Caminata, Sitio historico, Vistas panorámicas","Hotel, Cabaña, Carpa","Vehiculo particular, Transporte publico",Todo público,$$,"3,591",5,3-6 horas
5,Zoológico de Cali,Valle del Cauca,Cali,Cálido,"Zoológico, Caminata urbana",Hotel,"Transporte publico, Vehiculo particular",Todo público,$$,"2,500",4.5,3-4 horas
6,Barrio La Candelaria,Bogotá D.C.,Bogotá,Frío,"Caminata urbana, Sitio historico",Hotel,"Transporte publico, Vehiculo particular",Todo público,$,"4,792",4.5,2-3 horas
7,Jardín Botánico de Bogotá,Bogotá D.C.,Bogotá,Frío,"Caminata urbana, Observacion de Naturaleza",Hotel,"Transporte publico, Vehiculo particular",Todo público,$,"1,492",4.5,1-2 horas
8,Santuario de Las Lajas,Nariño,Ipiales,Frío,"Peregrinación, Sitio historico","Hotel, Cabaña","Transporte publico, Vehiculo particular",Todo público,$$,869,4.5,2-3 horas
9,Catedral de Sal,Cundinamarca,Zipaquirá,Frío,"Sitio historico, Caminata, Cavernas",Hotel,"Vehiculo particular, Transporte publico",Todo público,$$,"4,953",4.5,2-4 horas
10,Parque Nacional Natural Tayrona,Magdalena,Santa Marta,Cálido,"Playa, Caminata, Snorkel","Carpa, Cabaña, Hotel","Vehiculo particular, Transporte publico, Barco",Todo público,$$$,"6,412",4.5,1-3 días
11,Desierto de la Tatacoa,Huila,Villavieja,Desierto,"Observacion astronómica, Caminata","Carpa, Cabaña","Vehiculo particular, Transporte publico",Todo público,$$,846,4.5,3-6 horas
12,Parque Explora,Antioquia,Medellín,Cálido,"Museo interactivo, Ciencia",Hotel,"Transporte publico, Vehiculo particular",Todo público,$$,"3,294",4.5,3-5 horas
13,Ciudad Perdida,Magdalena,Santa Marta,Cálido,"Caminata, Arqueología, Naturaleza","Carpa, Cabaña","A pie, Vehiculo particular, Transporte publico",Adultos,$$$,"2,175",5,4-6 días
14,Parque Arqueológico San Agustín,Huila,San Agustín,Templado,"Arqueología, Caminata","Hotel, Cabaña","Vehiculo particular, Transporte publico",Todo público,$$,"1,060",4.5,1 día completo
15,Quinta de San Pedro Alejandrino,Magdalena,Santa Marta,Cálido,"Museo, Sitio historico",Hotel,"Transporte publico, Vehiculo particular",Todo público,$$,"1,518",4.5,2-3 horas
16,Museo del Oro Zenú,Bolívar,Cartagena,Cálido,"Museo, Sitio historico",Hotel,"Transporte publico, Vehiculo particular",Todo público,$,"2,272",4,1-2 horas
17,Pueblito Paisa,Antioquia,Medellín,Cálido,"Caminata, Sitio historico",Hotel,"Transporte publico, Vehiculo particular",Todo público,$,"3,091",4,1-2 horas
